area;year;mura;coypu
1;2020;0;0
2;2020;0,86;0
3;2020;0;0
4;2020;3,66;3,66
5;2020;0;1,84
6;2020;1,87;1,87
7;2020;5;7,57
8;2020;3350;3460
9;2020;840;1000
10;2020;0;58
11;2020;0;800
1;2021;0;0
2;2021;0,86;0
3;2021;0;0
4;2021;3,66;3,66
5;2021;0;1,84
6;2021;1,87;1,87
7;2021;5.00;7,57
8;2021;3320;3460
9;2021;850;1000
10;2021;0;65
11;2021;0;800
1;2022;0;0
2;2022;0;0
3;2022;0;0
4;2022;3.66;3,66
5;2022;0;1,84
6;2022;1.87;1,87
7;2022;5.00;7,57
8;2022;3240;3460
9;2022;870;1000
10;2022;0;67
11;2022;0;800
